Nr of publication,Cation 1,,Cation 2,,Cation 3,,Cation 4,,Anion 1,,Anion 2,,Pro- motor,Support 1,,Support 2,,,Preparation,"Temperature, K","p(CH4), bar","p(O2), bar",p(CH4)/p(O2),"P total, bar","Contact time, s","X(O2), %","X(CH4), %","S(COx), %","S(C2=), %","S(C2-), %","S(C2), %","Y(C2),%",Basicity,Acidity,Electro-negativity,Anion conductivity,p/n conductivity
,value,mol%,value,mol%,value,mol%,value,mol%,value,mol%,value,mol%,,value,mol%,value,mol%,,,,,,,,,,,,,,,,,,,,
,Na,66.7,,,,,,,C,33.3,,,,,,,,,n.a.,747,0.65,0.08,8.1,1.0,8.50,71.0,10.0,,28.0,19.0,47.0,4.7,,,,,
,K,10.5,Sr,84.3,,,,,C,5.2,,,,,,,,,Therm.decomp.,740,0.67,0.07,9.6,1.0,25.60,96.0,7.0,,52.0,36.0,88.0,6.2,,,,,
,K,5.3,Pb,92.1,,,,,C,2.6,,,,,,,,,Therm.decomp.,742,0.67,0.07,9.6,1.0,0.80,99.0,13.0,,26.0,35.0,61.0,7.9,,,,,
,Mg,66.7,,,,,,,S,33.3,,,,,,,,,Impregnation,746,0.65,0.08,8.1,1.0,1.40,39.0,4.0,,23.0,41.0,64.0,2.6,,,,,
,Mg,55.0,,,,,,,S,45.0,,,,,,,,,Impregnation,744,0.66,0.08,8.3,1.0,3.00,65.0,10.0,,27.0,40.0,67.0,6.7,,,,,
,Na,7.0,Mg,33.0,,,,,S,60.0,,,,,,,,,Impregnation,744,0.64,0.08,8.0,1.0,0.19,39.0,3.0,,23.0,19.0,42.0,1.3,,,,,
,Na,5.5,Ca,94.5,,,,,,,,,,,,,,,Impregnation,748,0.64,0.08,8.0,1.0,0.16,98.0,16.0,,24.0,39.0,63.0,10.1,,,,,
,Na,7.0,Ca,93.0,,,,,,,,,,,,,,,Impregnation,750,0.65,0.08,8.1,1.0,38.40,97.0,15.0,,25.0,44.0,69.0,10.4,,,,,
,Na,2.0,K,16.0,Ca,37.00,Sr,37.00,C,8.0,,,,,,,,,Therm.decomp.,744,0.67,0.07,9.6,1.0,0.20,94.0,6.0,,50.0,39.0,89.0,5.3,,,,,
,Ca,56.0,Si,44.0,,,,,,,,,,,,,,,Sol-gel,771,0.67,0.07,9.6,1.0,1.30,100.0,11.0,,12.0,30.0,42.0,4.6,,,,,
