Nr of publication,Cation 1,,Cation 2,,Cation 3,,Cation 4,,Anion 1,,Anion 2,,Pro- motor,Support 1,,Support 2,,,Preparation,"Temperature, K","p(CH4), bar","p(O2), bar",p(CH4)/p(O2),"P total, bar","Contact time, s","X(O2), %","X(CH4), %","S(COx), %","S(C2=), %","S(C2-), %","S(C2), %","Y(C2),%",Basicity,Acidity,Electro-negativity,Anion conductivity,p/n conductivity
,value,mol%,value,mol%,value,mol%,value,mol%,value,mol%,value,mol%,,value,mol%,value,mol%,,,,,,,,,,,,,,,,,,,,
105,Sr,2.6,Sm,94.8,,,,,C,2.6,,,,,,,,197.4,Therm.decomp.,573,0.71,0.29,2.5,1.0,1.40,,31.4,,25.0,14.5,39.5,12.4,,,,,
,Sm,100.0,,,,,,,,,,,,,,,,4.3,Therm.decomp.,573,0.71,0.29,2.5,1.0,1.40,,29.3,,,,24.5,7.2,,,,,
106,Ba,4.3,La,8.7,Mg,87.00,,,,,,,,,,,,195.7,Therm.decomp.,1073,0.81,0.20,4.0,1.0,0.07,,26.0,,,,65.3,17.0,,,,,
107,Ti,16.6,La,16.7,Li,66.70,,,,,,,,,,,,89.2,n.a.,1023,0.32,0.08,4.0,1.0,0.16,,19.0,,,,75.0,14.3,,,,,
108,Li,5.8,Ca,94.2,,,,,,,,,,,,,,96.6,Impregnation,1013,0.67,0.07,9.1,1.0,0.36,91.0,16.0,23.0,27.0,41.0,68.0,10.9,,,,,
,K,2.4,Ca,97.6,,,,,,,,,,,,,,103.3,Impregnation,1013,0.67,0.07,9.1,1.0,0.25,93.0,15.0,26.0,24.0,42.0,66.0,9.9,,,,,
,Li,5.7,Ca,91.4,,,,,C,2.9,,,,,,,,101.2,n.a.,1013,0.67,0.07,9.0,1.0,0.36,91.0,16.0,,41.0,27.0,68.0,10.9,,,,,
,K,6.9,Ca,89.7,,,,,C,3.4,,,,,,,,99.6,n.a.,1013,0.67,0.07,9.0,1.0,0.14,91.0,14.0,,42.0,20.0,62.0,8.7,,,,,
,Na,6.5,Ca,90.3,,,,,C,3.2,,,,,,,,99.4,n.a.,1013,0.67,0.07,9.0,1.0,0.14,83.0,15.0,,42.0,25.0,67.0,10.1,,,,,
,Na,5.9,Ca,94.1,,,,,,,,,,,,,,100.8,n.a.,1013,0.67,0.07,9.0,1.0,0.15,90.0,14.0,,43.0,24.0,67.0,9.4,,,,,
,Na,6.7,Ca,90.0,,,,,S,3.3,,,,,,,,99.0,n.a.,1013,0.67,0.07,9.0,1.0,0.19,92.0,16.0,,45.0,26.0,71.0,11.4,,,,,
,K,5.7,Ca,91.4,,,,,S,2.9,,,,,,,,100.8,n.a.,1013,0.67,0.07,9.0,1.0,0.22,85.0,15.0,,42.0,27.0,69.0,10.4,,,,,
,Li,6.5,Ca,90.3,,,,,S,3.2,,,,,,,,193.5,n.a.,1013,0.67,0.07,9.0,1.0,1.40,99.0,16.0,,32.0,33.0,65.0,10.4,,,,,
,Sr,100.0,,,,,,,,,,,,,,,,8.9,n.a.,1013,0.67,0.08,8.0,1.0,25.00,88.0,12.0,28.0,36.0,28.0,64.0,7.7,,,,,
109,Pb,8.9,,,,,,,,,,,,Al,91.1,,,99.8,Therm.decomp.,1017,0.51,0.05,10.1,1.0,3.28,94.0,6.5,66.0,28.0,6.0,33.9,2.2,,,,,
,Pb,8.7,Al,91.3,,,,,,,,,,,,,,131.3,Therm.decomp.,1017,0.51,0.05,10.1,1.0,0.00,94.0,6.5,66.0,28.0,6.0,33.9,2.2,,,,,
110,Mn,40.0,Li,60.0,,,,,,,,,,,,,,100.0,n.a.,1053,0.33,0.17,2.0,1.0,0.39,,32.0,,,,50.0,16.0,,,,,
,Fe,40.0,Li,60.0,,,,,,,,,,,,,,100.0,n.a.,1073,0.33,0.17,2.0,1.0,0.39,,40.0,,,,55.0,22.0,,,,,
,In,40.0,Li,60.0,,,,,,,,,,,,,,100.0,n.a.,1053,0.33,0.17,2.0,1.0,0.39,,35.0,,,,57.0,20.0,,,,,
,Ni,40.0,Li,60.0,,,,,,,,,,,,,,110.0,n.a.,1033,0.33,0.17,2.0,1.0,0.39,,35.0,,,,68.0,23.8,,,,,
,Li,50.0,Ni,50.0,,,,,,,,,,,,,,78.6,n.a.,1013,0.33,0.17,2.0,1.0,0.39,,40.0,,,,52.0,20.8,,,,,
,Ti,28.6,Li,71.4,,,,,,,,,,,,,,100.0,n.a.,1053,0.33,0.17,2.0,1.0,0.39,,30.0,,,,62.0,18.6,,,,,
,Ge,28.6,Li,71.4,,,,,,,,,,,,,,100.0,n.a.,1113,0.33,0.17,2.0,1.0,0.39,,32.0,,,,50.0,16.0,,,,,
,Sr,28.6,Li,71.4,,,,,,,,,,,,,,100.0,n.a.,1073,0.33,0.17,2.0,1.0,0.39,,37.0,,,,55.0,20.4,,,,,
,Sn,28.6,Li,71.4,,,,,,,,,,,,,,82.1,n.a.,1053,0.33,0.17,2.0,1.0,0.39,,29.0,,,,63.0,18.3,,,,,
111,La,10.7,Ba,89.3,,,,,,,,,,,,,,98.4,n.a.,1023,0.50,0.10,5.0,1.0,2.77,,23.0,,,,65.0,15.0,,,,,
112,Li,9.1,Ti,90.9,,,,,,,,,Cl,,,,,100.0,n.a.,1023,0.12,0.04,3.0,1.0,0.65,85.0,40.0,,39.0,2.0,41.0,16.4,,,,,
,Na,9.1,Ti,90.9,,,,,,,,,Cl,,,,,100.0,n.a.,1023,0.12,0.04,3.0,1.0,0.65,100.0,35.0,,56.0,9.0,65.0,22.8,,,,,
,K,9.1,Ti,90.9,,,,,,,,,Cl,,,,,100.8,n.a.,1023,0.12,0.04,3.0,1.0,0.65,80.0,32.0,,44.0,10.0,54.0,17.3,,,,,
,Na,9.9,Mn,1.0,Ti,89.10,,,,,,,Cl,,,,,94.6,n.a.,1023,0.12,0.04,3.0,1.0,0.65,100.0,43.0,,52.0,9.0,61.0,26.2,,,,,
113,Li,4.5,Mg,95.5,,,,,,,,,,,,,,100.5,n.a.,973,0.67,0.33,2.0,1.0,0.01,76.0,34.0,,40.0,16.0,56.0,19.0,,,,,
,Li,5.0,Zn,5.0,Mg,90.00,,,,,,,,,,,,100.0,n.a.,973,0.67,0.33,2.0,1.0,0.01,,35.0,,29.0,21.0,50.0,17.5,,,,,
,Li,5.0,Ni,5.0,Mg,90.00,,,,,,,,,,,,100.0,n.a.,973,0.67,0.33,2.0,1.0,0.01,,34.0,,26.0,20.0,46.0,15.6,,,,,
,Li,5.0,Sm,5.0,Mg,90.00,,,,,,,,,,,,100.0,n.a.,973,0.67,0.33,2.0,1.0,0.01,,40.0,,23.0,23.0,46.0,18.4,,,,,
,Li,5.0,Ce,5.0,Mg,90.00,,,,,,,,,,,,128.3,n.a.,973,0.67,0.33,2.0,1.0,0.01,,42.0,,24.0,24.0,48.0,20.2,,,,,
114,Na,33.3,Mn,66.7,,,,,,,,,Cl,,,,,67.2,n.a.,1072,0.67,0.33,2.0,1.0,3.00,100.0,37.0,,24.0,12.0,36.0,13.3,,,,,
,Sn,.5,Na,33.2,Mn,66.30,,,,,,,Cl,,,,,100.0,n.a.,1064,0.67,0.33,2.0,1.0,3.00,100.0,38.0,,31.0,9.0,40.0,15.2,,,,,
,Ti,.5,Na,33.2,Mn,66.30,,,,,,,Cl,,,,,100.0,n.a.,1087,0.67,0.33,2.0,1.0,3.00,100.0,42.0,,31.0,11.0,42.0,17.6,,,,,
,W,.5,Na,33.2,Mn,66.30,,,,,,,Cl,,,,,100.0,n.a.,1089,0.67,0.33,2.0,1.0,3.00,100.0,41.0,,32.0,12.0,44.0,18.0,,,,,
,Ta,.5,Na,33.2,Mn,66.30,,,,,,,Cl,,,,,100.6,n.a.,1077,0.67,0.33,2.0,1.0,3.00,100.0,44.0,,35.0,10.0,45.0,19.8,,,,,
,Si,1.1,Na,33.0,Mn,65.90,,,,,,,Cl,,,,,117.1,n.a.,1041,0.67,0.33,2.0,1.0,3.00,100.0,44.0,,40.0,7.0,47.0,20.7,,,,,
,Si,18.2,Na,27.3,Mn,54.50,,,,,,,Cl,,,,,#VALUE!,n.a.,1053,0.67,0.33,2.0,1.0,3.00,100.0,46.0,,36.0,9.0,45.0,20.7,,,,,
115,Li,5.5,Mg,94.5,,,,,,,,,,,,,,,Impregnation,975,0.87,0.03,29.0,1.0,0.72,,4.0,,,,80.0,3.2,,,,,
,Mg,98.0,,,,,,,B,2.0,,,,,,,,,Impregnation,983,0.87,0.03,29.0,1.0,0.72,,2.3,,,,18.0,0.4,,,,,
,Li,5.5,Mg,93.8,,,,,B,.7,,,,,,,,,Impregnation,973,0.87,0.03,29.0,1.0,0.72,,4.4,,,,88.0,3.9,,,,,
,Li,5.5,Mg,89.8,,,,,B,4.7,,,,,,,,,Impregnation,1073,0.87,0.03,29.0,1.0,0.72,,17.0,,,,74.0,12.6,,,,,
,Li,5.5,Al,1.0,Mg,93.50,,,,,,,,,,,,,Impregnation,1075,0.60,0.08,7.1,1.0,0.72,,17.3,,,,45.0,7.8,,,,,
,Li,5.5,Y,.9,Mg,93.60,,,,,,,,,,,,,Impregnation,1072,0.60,0.08,7.1,1.0,0.72,,20.0,,,,68.0,13.6,,,,,
,Li,5.5,La,.7,Mg,93.80,,,,,,,,,,,,,Impregnation,1072,0.60,0.08,7.1,1.0,0.72,,18.0,,,,74.0,13.3,,,,,
,Li,5.5,La,1.5,Mg,93.00,,,,,,,,,,,,,Impregnation,1072,0.60,0.08,7.1,1.0,0.72,,16.0,,,,71.0,11.4,,,,,
116,Ag,8.5,,,,,,,,,,,Cl,Al,91.5,,,,Impregnation,973,0.10,0.05,2.0,1.0,1.50,,31.5,,,,19.6,6.2,,,,,
,K,3.0,Ag,8.5,,,,,Cl,3.0,,,Cl,Al,85.5,,,,Impregnation,973,0.10,0.05,2.0,1.0,1.50,,30.8,,,,33.6,10.3,,,,,
,Li,3.0,Ag,8.5,,,,,Cl,3.0,,,Cl,Al,85.5,,,,Impregnation,973,0.10,0.05,2.0,1.0,1.50,,2.2,,,,76.9,1.7,,,,,
,Ba,3.0,Ag,8.5,,,,,Cl,6.0,,,Cl,Al,82.5,,,,Impregnation,973,0.10,0.05,2.0,1.0,1.50,,32.1,,,,32.1,10.3,,,,,
,Na,3.0,Ag,8.5,,,,,Cl,3.0,,,Cl,Al,85.5,,,,Impregnation,973,0.10,0.05,2.0,1.0,1.50,,35.0,,,,33.5,11.7,,,,,
,Cs,3.0,Ag,8.5,,,,,Cl,3.0,,,Cl,Al,85.5,,,,Impregnation,973,0.10,0.05,2.0,1.0,1.50,,30.2,,,,24.3,7.3,,,,,
,Ag,18.0,,,,,,,,,,,Cl,Al,82.0,,,,Impregnation,973,0.10,0.05,2.0,1.0,1.50,,20.4,,,,0.0,0.0,,,,,
,Ag,18.0,Ba,41.0,,,,,C,41.0,,,Cl,,,,,,Impregnation,973,0.10,0.05,2.0,1.0,1.50,,26.8,,,,0.3,0.1,,,,,
,Pr,5.0,Ag,8.5,,,,,,,,,Cl,Al,86.5,,,,Impregnation,973,0.10,0.05,2.0,1.0,1.50,,26.6,,,,0.2,0.1,,,,,
,Pr,1.0,Ag,8.5,,,,,,,,,Cl,Al,90.5,,,,Impregnation,973,0.10,0.05,2.0,1.0,1.50,,26.1,,,,0.0,0.0,,,,,
,Bi ,1.0,Ag,18.0,,,,,,,,,Cl,Al,81.0,,,,Impregnation,973,0.10,0.05,2.0,1.0,1.50,,23.4,,,,1.3,0.3,,,,,
,Ba,1.0,Ag,18.0,,,,,,,,,Cl,Al,81.0,,,,Impregnation,973,0.10,0.05,2.0,1.0,1.50,,27.8,,,,0.7,0.2,,,,,
,Ba,5.0,Ag,18.0,,,,,,,,,Cl,Al,77.0,,,,Impregnation,973,0.10,0.05,2.0,1.0,1.50,,26.0,,,,1.7,0.4,,,,,
,K,3.0,Ag,18.0,,,,,,,,,Cl,Al,79.0,,,,Impregnation,973,0.10,0.05,2.0,1.0,1.50,,17.2,,,,23.3,4.0,,,,,
,Ag,18.0,,,,,,,,,,,Cl,Al,82.0,,,,Therm.decomp.,973,0.10,0.05,2.0,1.0,1.50,,5.0,,,,0.0,0.0,,,,,
,Ba,3.0,Ag,18.0,,,,,Cl,6.0,,,Cl,Al,73.0,,,,Therm.decomp.,973,0.10,0.05,2.0,1.0,1.50,,17.2,,,,25.4,4.4,,,,,
,Ba,3.0,La,91.0,,,,,Cl,6.0,,,Cl,,,,,,Therm.decomp.,973,0.10,0.05,2.0,1.0,1.50,,26.7,,,,15.3,4.1,,,,,
,Ba,3.0,La,9.0,,,,,Cl,6.0,,,Cl,Al,82.0,,,,Impregnation,973,0.10,0.05,2.0,1.0,1.50,,15.8,,,,28.0,4.4,,,,,
,Ba,3.0,La,18.0,,,,,Cl,6.0,,,Cl,Al,73.0,,,,Impregnation,973,0.10,0.05,2.0,1.0,1.50,,27.1,,,,30.4,8.2,,,,,
,Ba,3.0,Ag,18.0,,,,,Cl,6.0,,,Cl,Al,73.0,,,,Therm.decomp.,973,0.10,0.05,2.0,1.0,1.50,,21.3,,,,30.4,6.5,,,,,
,Ca,1.0,Ag,18.0,,,,,Cl,2.0,,,Cl,Al,79.0,,,,Impregnation,973,0.10,0.05,2.0,1.0,1.50,,15.8,,,,25.4,4.0,,,,,
117,Sr,3.0,,,,,,,Cl,6.0,,,Cl,Al,91.0,,,,Impregnation,1023,0.10,0.05,2.0,1.0,1.50,,30.3,,,,56.0,17.0,,,,,
,Ba,28.0,,,,,,,C,28.0,,,Cl,Al,44.0,,,,Impregnation,1023,0.10,0.05,2.0,1.0,1.50,,43.2,,,,41.8,18.1,,,,,
,Ba,3.0,,,,,,,Cl,6.0,,,Cl,Al,91.0,,,,Impregnation,1048,0.06,0.05,1.2,1.0,2.10,,47.0,,,,41.6,19.6,,,,,
,Ba,6.0,,,,,,,Br,12.0,,,Cl,Al,82.0,,,,Impregnation,1023,0.10,0.05,2.0,1.0,1.60,,38.6,,,,40.6,15.7,,,,,
,Ba,3.0,,,,,,,,,,,Cl,Al,97.0,,,,Impregnation,1023,0.10,0.05,2.0,1.0,1.60,,33.3,,,,49.6,16.5,,,,,
,Ba,3.0,,,,,,,C,3.0,,,Cl,Ti,94.0,,,,Impregnation,1023,0.10,0.05,2.0,1.0,0.31,,38.8,,,,54.5,21.1,,,,,
,Ba,3.0,,,,,,,Cl,6.0,,,,Ti,91.0,,,,Impregnation,1023,0.10,0.05,2.0,1.0,4.10,,38.2,,,,47.9,18.3,,,,,
,Ba,3.0,,,,,,,C,3.0,,,Cl,Zr,94.0,,,,Impregnation,1023,0.10,0.05,2.0,1.0,0.70,,28.1,,,,42.8,12.0,,,,,
118,Y,16.7,Ba,33.3,Sn,50.00,,,,,,,,,,,,,Therm.decomp.,1023,0.15,0.08,2.0,1.0,0.15,100.0,29.0,,,,20.0,5.8,,,,,
,Y,15.0,Ba,30.0,Sn,55.00,,,,,,,,,,,,,Therm.decomp.,1073,0.83,0.17,4.9,1.0,0.15,83.0,16.4,,,,53.0,8.7,,,,,
119,Y,17.2,Ba,36.2,Sn,46.60,,,,,,,,,,,,,Therm.decomp.,1023,0.83,0.17,4.9,1.0,0.15,49.0,5.2,,,,38.0,2.0,,,,,
120,K,28.6,La,28.6,Ti,42.80,,,,,,,,,,,,,Therm.decomp.,1023,0.29,0.15,1.9,1.0,1.20,,39.0,,,,42.0,16.4,,,,,
,K,28.6,Nd,28.6,Ti,42.80,,,,,,,,,,,,,Therm.decomp.,1023,0.29,0.15,1.9,1.0,0.96,,26.0,,,,24.0,6.2,,,,,
,K,28.6,Sm,28.6,Ti,42.80,,,,,,,,,,,,,Therm.decomp.,1023,0.29,0.15,1.9,1.0,1.20,,25.0,,,,23.0,5.8,,,,,
,K,28.6,Dy,28.6,Ti,42.80,,,,,,,,,,,,,Therm.decomp.,1023,0.29,0.15,1.9,1.0,1.00,,25.0,,,,15.0,3.8,,,,,
,K,28.6,Gd,28.6,Ti,42.80,,,,,,,,,,,,,Therm.decomp.,1023,0.29,0.15,1.9,1.0,2.00,,29.0,,,,20.0,5.8,,,,,
,Rb,28.6,La,28.6,Ti,42.80,,,,,,,,,,,,,Therm.decomp.,1023,0.29,0.15,1.9,1.0,0.80,,21.0,,,,31.0,6.5,,,,,
,Na,28.6,La,28.6,Ti,42.80,,,,,,,,,,,,,Therm.decomp.,1023,0.29,0.15,1.9,1.0,0.80,,35.0,,,,28.0,9.8,,,,,
,K,28.6,Pr,28.6,Ti,42.80,,,,,,,,,,,,,Therm.decomp.,1023,0.29,0.15,1.9,1.0,1.20,,30.0,,,,40.0,12.0,,,,,
,K,28.6,Ce,28.6,Ti,42.80,,,,,,,,,,,,,Therm.decomp.,1023,0.29,0.15,1.9,1.0,5.00,,29.0,,,,36.0,10.4,,,,,
121,Ba,3.0,,,,,,,Cl,6.0,,,Cl,Al,91.0,,,,Impregnation,1048,0.06,0.05,1.2,1.0,2.10,,47.0,,,,56.0,26.3,,,,,
,Ba,6.0,,,,,,,Br,12.0,,,Cl,Al,82.0,,,,Impregnation,1023,0.10,0.05,2.0,1.0,1.60,,38.6,,,,41.8,16.1,,,,,
,Ba,3.0,,,,,,,C,3.0,,,Cl,Zr,94.0,,,,Impregnation,1023,0.10,0.05,2.0,1.0,0.70,,28.1,,,,41.6,11.7,,,,,
122,Sr,9.1,La,90.9,,,,,,,,,,,,,,,Precipitation,1189,0.70,0.10,7.0,1.0,0.15,,14.6,,,,9.1,1.3,,,,,
123,Si,100.0,,,,,,,,,,,,,,,,,n.a.,1073,0.96,0.04,24.0,1.0,3.60,97.0,4.1,,25.0,22.0,47.0,1.9,,,,,
,K,1.0,,,,,,,Br,1.0,,,,Si,98.0,,,,Impregnation,1173,0.91,0.09,10.1,1.0,3.00,98.0,16.0,,48.0,6.0,54.0,8.6,,,,,
,Pb,20.0,,,,,,,,,,,,Si,80.0,,,,Impregnation,1190,0.83,0.16,5.2,1.0,0.40,88.7,18.7,,30.2,20.2,50.4,9.4,,,,,
,Pb,3.2,Si,96.8,,,,,,,,,,,,,,#VALUE!,n.a.,1110,0.87,0.03,30.9,1.0,2.12,99.0,8.0,14.0,31.0,51.0,82.0,6.6,,,,,
124,Li,2.0,Mg,97.0,,,,,B,1.0,,,,,,,,,Therm.decomp.,1073,0.60,0.08,7.1,1.0,0.72,,21.2,,,,86.0,18.2,,,,,
,Li,2.0,Al,1.0,Mg,97.00,,,,,,,,,,,,,Therm.decomp.,1073,0.60,0.08,7.1,1.0,0.72,,17.3,,,,45.0,7.8,,,,,
125,Li,15.4,Zn,46.2,Mg,38.40,,,,,,,,,,,,,Therm.decomp.,1073,0.27,0.06,4.7,1.0,,,20.1,,,,76.3,15.3,,,,,
,Li,4.3,Cs,.9,Zn,94.80,,,,,,,,,,,,,Therm.decomp.,1013,0.27,0.06,4.7,1.0,,,21.8,,,,77.0,16.8,,,,,
,Li,14.8,Al,3.7,Zn,44.40,Mg,37.10,,,,,,,,,,,Therm.decomp.,1073,0.27,0.06,4.7,1.0,,,22.2,,,,78.0,17.3,,,,,
,Li,4.3,Zn,52.2,Zr,43.50,,,,,,,,,,,,,Therm.decomp.,1073,0.27,0.06,4.7,1.0,,,9.1,,,,52.9,4.8,,,,,
,Li,15.4,Mg,38.5,Zn,46.10,,,,,,,,,,,,99.4,n.a.,1073,0.27,0.06,4.8,1.0,0.49,,26.0,,37.0,36.0,73.0,19.0,,,,,
,Li,14.8,Al,3.8,Zn,44.40,Mg,37.00,,,,,,,,,,#VALUE!,n.a.,1073,0.27,0.06,4.8,1.0,0.49,,28.0,,43.0,32.0,75.0,21.0,,,,,
126,Li,6.2,Na,35.0,Ti,32.60,Si,20.00,Cl,6.2,,,,,,,,,Impregnation,973,0.05,0.02,2.4,1.0,0.60,,50.0,,39.5,0.0,39.5,19.8,,,,,
,Rb,6.2,Na,35.0,Ti,32.60,Si,20.00,Cl,6.2,,,,,,,,,Impregnation,973,0.05,0.02,2.4,1.0,0.60,,36.9,,3.8,3.6,7.4,2.7,,,,,
,Li,5.8,Ti,88.4,,,,,Cl,5.8,,,,,,,,,Impregnation,973,0.05,0.02,2.4,1.0,0.60,,33.6,,19.9,0.0,19.9,6.7,,,,,
,Li,5.8,Mn,88.4,,,,,Cl,5.8,,,,,,,,,Impregnation,973,0.05,0.02,2.4,1.0,0.60,,41.0,,28.0,0.0,28.0,11.5,,,,,
,Rb,28.0,Ti,44.0,,,,,Cl,28.0,,,,,,,,,Impregnation,973,0.05,0.02,2.4,1.0,0.60,,20.3,,2.6,3.7,6.3,1.3,,,,,
127,Bi,20.0,Pb,30.0,Ba,50.00,,,,,,,,,,,,91.6,Impregnation,1048,0.30,0.04,7.5,1.0,1.60,,3.8,,,,21.0,0.8,,,,,
128,Li,11.6,Mg,88.4,,,,,,,,,,,,,,121.7,Impregnation,1073,0.67,0.07,9.6,1.0,0.23,,16.3,,,,84.0,13.7,,,,,
129,Sr,33.3,La,66.7,,,,,,,,,,,,,,84.9,Precipitation ,1153,0.88,0.13,6.7,1.0,0.02,99.6,21.2,,,,73.1,15.5,,,,,
130,Y,18.2,Ca,81.8,,,,,,,,,,,,,,181.8,Precipitation ,1023,0.15,0.08,2.0,1.0,0.75,90.0,37.0,,,,35.0,13.0,,,,,
131,Ca,100.0,,,,,,,,,,,,,,,,100.0,Therm.decomp.,1073,0.09,0.05,2.0,1.0,0.19,100.0,38.0,79.0,12.0,9.0,21.0,8.0,,,,,
,Sr,100.0,,,,,,,,,,,,,,,,3.9,Therm.decomp.,1073,0.09,0.05,2.0,1.0,0.19,39.0,24.0,52.0,25.0,23.0,48.0,11.5,,,,,
,Sm,3.9,Mg,96.1,,,,,,,,,,,,,,116.1,Therm.decomp.,1073,0.09,0.05,2.0,1.0,0.19,93.0,39.0,64.0,20.0,16.0,36.0,14.0,,,,,
132,Ca,20.0,Ba,80.0,,,,,,,,,,,,,,80.4,Impregnation,1073,0.67,0.07,9.6,1.0,0.23,16.0,2.0,76.0,24.0,0.0,24.0,0.5,,,,,
133,Li,.4,Mg,99.6,,,,,,,,,,,,,,100.4,Precipitation,1023,0.03,0.02,1.9,1.0,1.23,90.0,46.0,,,,62.8,28.9,,,,,
,Mn,.8,Mg,99.2,,,,,,,,,,,,,,109.2,n.a.,1023,0.03,0.02,1.9,1.0,1.23,90.0,34.9,,,,46.0,16.1,,,,,
,Co,10.0,Mg,90.0,,,,,,,,,,,,,,105.3,Impregnation,1023,0.03,0.02,1.9,1.0,1.23,90.0,32.7,,,,35.7,11.7,,,,,
134,Na,15.3,P,7.7,Gd ,38.50,Mn,38.50,,,,,,,,,,184.7,Pyrolysis,1101,0.41,0.21,2.0,1.0,0.29,,15.0,47.0,36.0,17.0,53.0,8.0,,,,,
135,Zn,100.0,,,,,,,,,,,,,,,,47.9,Therm.decomp.,973,0.44,0.11,4.0,1.0,0.15,100.0,18.0,,,,23.0,4.1,,,,,
,Li,47.9,Zn,52.1,,,,,,,,,,,,,,54.7,Therm.decomp.,973,0.44,0.11,4.0,1.0,0.15,23.0,5.0,,,,42.0,2.1,,,,,
136,Li,2.6,Zn,1.0,Mg,96.40,,,,,,,,,,,,100.0,Impregnation,1053,0.17,0.07,2.3,1.0,0.24,90.0,42.0,,,,47.0,19.7,,,,,
,Li,2.6,Cd,1.0,Mg,96.40,,,,,,,,,,,,197.4,Impregnation,1053,0.17,0.07,2.3,1.0,0.24,,29.0,,,,49.0,14.2,,,,,
137,Ba,100.0,,,,,,,,,,,,,,,,50.0,n.a.,1073,0.14,0.06,2.3,1.0,0.04,90.0,34.8,,,,42.8,14.9,,,,,
,Ba,50.0,,,,,,,Cl,50.0,,,,,,,,63.6,n.a.,1073,0.14,0.06,2.3,1.0,0.04,81.0,34.2,60.0,,,43.0,14.7,,,,,
,La,13.6,Ba,86.4,,,,,,,,,,,,,,186.4,Impregnation,1073,0.14,0.06,2.3,1.0,0.04,99.9,36.6,51.0,,,50.0,18.3,,,,,
,Ba,100.0,,,,,,,,,,,,,,,,100.0,Impregnation,1073,0.17,0.06,3.0,1.0,42.29,95.9,21.7,65.0,30.0,5.0,34.7,7.5,,,,,
138,Ba,100.0,,,,,,,,,,,,,,,,100.0,n.a.,1013,0.70,0.08,9.3,1.0,14.45,98.0,14.0,,,,70.0,9.8,,,,,
139,Sr,50.0,,,,,,,C,50.0,,,,,,,,,Therm.decomp.,1153,0.91,0.09,10.0,1.0,0.24,43.3,7.0,,,,67.5,4.7,,,,,
,Ba,50.0,,,,,,,C,50.0,,,,,,,,,Therm.decomp.,1153,0.91,0.09,10.0,1.0,0.24,43.1,7.6,,,,74.9,5.7,,,,,
,Th,100.0,,,,,,,,,,,,,,,,,Therm.decomp.,1153,0.91,0.09,10.0,1.0,0.24,54.7,8.6,,,,64.3,5.5,,,,,
,Sr,50.0,Th,50.0,,,,,,,,,,,,,,,Therm.decomp.,1153,0.91,0.09,10.0,1.0,0.24,56.5,9.3,,,,73.3,6.8,,,,,
,Ca,50.0,,,,,,,C,50.0,,,,,,,,,Therm.decomp.,1153,0.91,0.09,10.0,1.0,0.24,70.3,9.5,,,,63.9,6.1,,,,,
,La,100.0,,,,,,,,,,,,,,,,,Therm.decomp.,1153,0.91,0.09,10.0,1.0,0.24,69.6,10.1,,,,65.3,6.6,,,,,
,Th,9.1,Sr,45.5,,,,,C,45.4,,,,,,,,,Therm.decomp.,1153,0.91,0.09,10.0,1.0,0.24,68.4,11.3,,,,75.6,8.5,,,,,
,Sr,50.0,Th,50.0,,,,,,,,,,,,,,,Therm.decomp.,1153,0.91,0.09,10.0,1.0,0.24,74.1,12.0,,,,75.0,9.0,,,,,
,Ba,50.0,Th,50.0,,,,,,,,,,,,,,,Therm.decomp.,1153,0.91,0.09,10.0,1.0,0.24,84.8,12.2,,,,69.0,8.4,,,,,
,Th,9.1,Ca,45.5,,,,,C,45.4,,,,,,,,,Therm.decomp.,1153,0.91,0.09,10.0,1.0,0.24,89.5,12.4,,,,68.6,8.5,,,,,
,Ca,50.0,Th,50.0,,,,,,,,,,,,,,,Therm.decomp.,1153,0.91,0.09,10.0,1.0,0.24,97.4,14.2,,,,70.9,10.1,,,,,
,La,4.5,Sr,4.6,Th,90.90,,,,,,,,,,,,,Therm.decomp.,1153,0.91,0.09,10.0,1.0,0.24,99.4,15.1,,,,74.9,11.3,,,,,
,La,9.1,Th,90.9,,,,,,,,,,,,,,,Therm.decomp.,1153,0.91,0.09,10.0,1.0,0.24,99.7,13.8,,,,68.3,9.4,,,,,
,Th,9.1,La,90.9,,,,,,,,,,,,,,,Therm.decomp.,1153,0.91,0.09,10.0,1.0,0.24,99.8,14.0,,,,68.3,9.6,,,,,
140,Y,100.0,,,,,,,,,,,,,,,,100.0,n.a.,1073,0.30,0.05,6.0,1.0,0.16,100.0,18.0,44.0,,,56.2,10.1,,,,,
,La,100.0,,,,,,,,,,,,,,,,100.0,n.a.,998,0.18,0.02,8.8,1.0,2.38,91.0,9.4,53.0,,,46.6,4.4,,,,,
,Nd,100.0,,,,,,,,,,,,,,,,100.0,Therm.decomp.,1023,0.30,0.05,6.0,1.0,0.18,100.0,17.1,43.0,,,57.0,9.7,,,,,
,Eu,100.0,,,,,,,,,,,,,,,,100.0,Therm.decomp.,973,0.30,0.05,6.0,1.0,0.19,100.0,18.2,44.0,,,55.9,10.2,,,,,
,Gd,100.0,,,,,,,,,,,,,,,,25.0,Therm.decomp.,1073,0.30,0.05,6.0,1.0,0.23,100.0,19.2,39.0,,,61.0,11.7,,,,,
,Ce,25.0,Na,75.0,,,,,,,,,,,,,,75.5,Impregnation,970,0.18,0.03,6.1,1.0,1.50,100.0,15.7,,,,59.0,9.3,,,,,
